****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
        -sort_by group
Design : Top
Version: N-2017.09-SP2
Date   : Thu Jun  7 22:38:52 2018
****************************************

Operating Conditions: slow   Library: slow
Wire Load Model Mode: top

  Startpoint: X[0] (input port)
  Endpoint: R[31] (output port)
  Path Group: (none)
  Path Type: max

  Point                                                   Incr       Path
  --------------------------------------------------------------------------
  input external delay                                    0.00       0.00 f
  X[0] (in)                                               0.00       0.00 f
  br4/InputA[0] (BoothRadix4)                             0.00       0.00 f
  br4/U367/Y (CLKINVX1)                                   0.22       0.22 r
  br4/add_49/A[1] (BoothRadix4_DW01_inc_0)                0.00       0.22 r
  br4/add_49/U1_1_2/CO (ADDHXL)                           0.20       0.43 r
  br4/add_49/U1_1_3/CO (ADDHXL)                           0.18       0.60 r
  br4/add_49/U1_1_4/CO (ADDHXL)                           0.18       0.78 r
  br4/add_49/U1_1_5/CO (ADDHXL)                           0.18       0.95 r
  br4/add_49/U1_1_6/CO (ADDHXL)                           0.18       1.13 r
  br4/add_49/U1_1_7/CO (ADDHXL)                           0.18       1.31 r
  br4/add_49/U1_1_8/CO (ADDHXL)                           0.18       1.48 r
  br4/add_49/U1_1_9/CO (ADDHXL)                           0.18       1.66 r
  br4/add_49/U1_1_10/CO (ADDHXL)                          0.18       1.83 r
  br4/add_49/U1_1_11/CO (ADDHXL)                          0.18       2.01 r
  br4/add_49/U1_1_12/CO (ADDHXL)                          0.18       2.18 r
  br4/add_49/U1_1_13/CO (ADDHXL)                          0.18       2.36 r
  br4/add_49/U1_1_14/CO (ADDHXL)                          0.18       2.54 r
  br4/add_49/U1_1_15/S (ADDHXL)                           0.23       2.76 r
  br4/add_49/SUM[15] (BoothRadix4_DW01_inc_0)             0.00       2.76 r
  br4/U343/Y (CLKINVX1)                                   0.21       2.97 f
  br4/U341/Y (OAI222XL)                                   0.39       3.36 r
  br4/PP0[15] (BoothRadix4)                               0.00       3.36 r
  wt16x16r4/PP0[15] (WallaceTree16X16Radix4)              0.00       3.36 r
  wt16x16r4/fa_A_0_13/A (FA_68)                           0.00       3.36 r
  wt16x16r4/fa_A_0_13/ha1/A (HA_137)                      0.00       3.36 r
  wt16x16r4/fa_A_0_13/ha1/U1/Y (XOR2X1)                   0.27       3.63 f
  wt16x16r4/fa_A_0_13/ha1/S (HA_137)                      0.00       3.63 f
  wt16x16r4/fa_A_0_13/ha2/A (HA_136)                      0.00       3.63 f
  wt16x16r4/fa_A_0_13/ha2/U2/Y (AND2X1)                   0.22       3.85 f
  wt16x16r4/fa_A_0_13/ha2/Cout (HA_136)                   0.00       3.85 f
  wt16x16r4/fa_A_0_13/U1/Y (OR2X1)                        0.25       4.10 f
  wt16x16r4/fa_A_0_13/Cout (FA_68)                        0.00       4.10 f
  wt16x16r4/fa_B_0_13/B (FA_43)                           0.00       4.10 f
  wt16x16r4/fa_B_0_13/ha1/B (HA_87)                       0.00       4.10 f
  wt16x16r4/fa_B_0_13/ha1/U1/Y (XOR2X1)                   0.15       4.25 f
  wt16x16r4/fa_B_0_13/ha1/S (HA_87)                       0.00       4.25 f
